#{"t_start": 1745501111.086573, "env_id": "None"}
r,l,t
40.305916,61,703.11533
40.251036,61,704.745769
43.403406,58,706.308033
42.333427,59,707.870627
42.350098,59,709.426698
43.381877,58,710.970001
32.74866,69,712.798258
38.265648,63,714.487144
42.474173,59,716.048814
38.106725,63,717.766638
39.318435,62,719.428808
41.419341,60,721.029235
40.255428,61,722.677405
42.478631,59,724.251639
41.198175,60,725.865911
36.042962,65,727.607475
42.259721,59,729.222881
42.245755,59,730.817352
42.323612,59,732.404289
42.297074,59,733.970942
44.259187,57,735.485524
40.224595,61,737.117902
37.261906,64,738.840375
41.207165,60,740.433566
42.312154,59,742.001833
43.204793,58,743.566891
41.412473,60,745.165907
42.492236,59,746.762143
39.246829,62,748.398103
42.356688,59,749.960881
44.255904,57,751.482309
40.29312,61,753.18784
41.313669,60,754.808851
45.380669,56,756.30817
44.484352,57,757.816791
45.482745,56,759.331242
43.30239,58,760.900909
43.499023,58,762.453453
42.295592,59,764.028063
44.287722,57,765.548962
45.424776,56,767.02525
43.28166,58,768.569275
43.456158,58,770.149072
41.333392,60,771.748643
44.354547,57,773.276492
42.283202,59,774.853077
43.483049,58,776.417628
43.470407,58,777.96789
40.263088,61,779.601094
43.293299,58,781.147331
40.338272,61,782.76691
43.46502,58,784.345129
43.321136,58,785.902569
44.460985,57,787.422613
46.31251,55,788.88887
45.309331,56,790.375532
42.333087,59,791.973089
43.234622,58,793.511378
42.371715,59,795.092998
44.415933,57,796.61284
42.270022,59,798.167231
43.302591,58,799.707925
43.44525,58,801.254964
44.318051,57,802.784841
32.295611,67,804.55131
42.203471,59,806.131439
46.465706,55,807.585505
43.274498,58,809.156111
41.168008,60,810.747123
43.414348,58,812.318528
43.449096,58,813.867811
42.373202,59,815.449216
42.441564,59,817.083849
40.358195,61,818.689754
42.484349,59,820.30574
42.299845,59,821.899865
43.417856,58,823.582878
42.330564,59,825.150133
44.293363,57,826.767958
38.282959,63,828.550017
35.977761,65,830.534282
40.242115,61,832.407659
43.423786,58,834.024597
42.257442,59,835.672685
41.331356,60,837.826675
43.288203,58,842.613456
39.154195,62,847.673188
39.127662,62,852.701425
40.266917,61,854.43884
37.004035,64,857.383962
44.299692,57,859.93967
41.229589,60,860.947723
40.290059,61,865.008349
41.295324,60,866.971896
42.254008,59,867.972952
42.359632,59,871.777587
41.439289,60,873.937582
39.135136,62,874.928418
36.035301,65,879.081952
38.135691,63,881.077284
40.23669,61,882.070094
41.134994,60,886.331762
42.358835,59,888.985022
44.328227,57,889.922332
42.255934,59,892.880794
42.288124,59,895.868883
41.299812,60,896.853097
41.371687,60,899.47703
37.965117,63,902.884484
38.144189,63,903.928799
38.297504,63,907.006581
42.352039,59,909.967143
45.300452,56,910.882706
38.119015,63,913.541128
39.117123,62,916.967129
37.28726,64,918.036008
30.91846,70,921.63922
38.285408,63,924.21819
39.261258,62,925.238355
39.128721,62,928.971476
40.313105,61,931.277541
42.25707,59,932.248541
41.321205,60,935.518059
36.028707,65,939.093834
39.276348,62,940.086835
41.183106,60,942.667115
39.164789,62,946.934503
42.289839,59,947.915149
40.087568,61,949.624735
40.118706,61,954.653783
38.111644,63,955.815115
42.442922,59,956.921578
42.280003,59,961.782921
37.225702,64,964.179638
42.299093,59,966.571757
42.251299,59,1241.859031
40.252891,61,1253.114007
39.117876,62,1262.259818
41.224818,60,1264.278116
38.28093,63,1269.659908
41.353493,60,1270.93139
40.237683,61,1273.681218
37.000304,64,1277.124215
42.398689,59,1278.134495
44.315033,57,1281.281348
38.163651,63,1284.302495
40.254434,61,1285.408839
40.30522,61,1289.828994
41.235911,60,1291.510818
43.406732,58,1292.577783
40.218304,61,1297.538183
37.000746,64,1298.86095
41.232363,60,1300.392377
38.295575,63,1305.896452
37.165343,64,1307.494235
36.04605,65,1308.736695
38.132018,63,1314.361189
40.23308,61,1315.815505
41.38509,60,1317.056516
42.386458,59,1322.097728
39.125016,62,1323.893573
39.249686,62,1325.748909
32.289887,67,1331.078314
39.30362,62,1332.240515
38.134024,63,1335.337087
39.24607,62,1339.454113
40.24296,61,2157.291739
37.230989,64,2159.691605
40.253931,61,2161.087087
41.443905,60,2162.252012
39.310935,62,2164.379537
37.109335,64,2165.537286
40.236823,61,2166.658076
39.152349,62,2167.700117
41.161321,60,2168.790964
42.475224,59,2169.800467
42.332048,59,2170.799749
44.410873,57,2171.833677
42.281337,59,2172.909862
40.374213,61,2174.115517
43.290028,58,2175.16114
44.283904,57,2176.35546
41.447091,60,2177.439626
37.228695,64,2178.583246
38.280006,63,2179.680469
41.373132,60,2180.74944
42.347693,59,2181.741163
40.29045,61,2182.85096
39.246964,62,2183.942904
36.052095,65,2185.130833
40.143782,61,2186.719646
40.234122,61,2188.254866
33.7951,68,2190.15865
41.211015,60,2191.754844
41.287691,60,2193.236032
39.091883,62,2194.997323
38.10447,63,2196.286371
41.30928,60,2197.438857
43.284469,58,2198.508624
40.301728,61,2199.572625
36.030449,65,2200.711044
33.670514,68,2201.908043
39.255176,62,2203.04391
44.328248,57,2204.015293
41.171463,60,2205.130093
42.260583,59,2206.12334
41.314332,60,2207.182462
40.128502,61,2208.26469
41.347039,60,2209.355964
43.275275,58,2210.377293
41.439738,60,2211.436805
42.279026,59,2212.452007
39.294464,62,2213.559144
42.385237,59,2214.62352
41.446768,60,2215.712057
42.302785,59,2216.828464
42.454571,59,2217.958689
42.200965,59,2219.000014
40.286239,61,2220.078931
43.320217,58,2221.093192
43.403745,58,2222.118596
40.335063,61,2223.146418
42.298331,59,2224.084036
42.138088,59,2225.139536
44.297724,57,2226.120451
40.274864,61,2227.263282
39.30734,62,2228.403059
38.140798,63,2229.537264
42.402638,59,2230.582641
43.306581,58,2231.607039
45.327439,56,2232.593658
39.112908,62,2233.716262
41.292743,60,2234.735801
38.273798,63,2235.897204
43.276961,58,2236.916399
41.234167,60,2238.085105
44.536856,57,2239.092386
44.321576,57,2240.121772
42.491082,59,2241.150769
39.145565,62,2242.261015
39.062275,62,2243.366248
42.471565,59,2244.38812
44.260894,57,2245.470833
44.437881,57,2246.475453
42.232145,59,2247.482712
41.209624,60,2248.605705
43.228427,58,2249.616829
46.345897,55,2250.627663
41.396884,60,2251.682113
44.29479,57,2252.707925
41.13586,60,2253.777674
41.437336,60,2254.824485
42.320953,59,2255.85777
41.444683,60,2256.890744
40.304274,61,2257.955733
42.202151,59,2258.988306
40.336366,61,2260.098589
38.986981,62,2261.198112
42.414028,59,2262.240507
43.157846,58,2263.240751
40.143305,61,2264.325418
42.383995,59,2265.394333
41.188436,60,2266.486611
43.38218,58,2267.574054
41.175139,60,2268.994781
43.349236,58,2270.255715
44.441714,57,2271.299986
45.305817,56,2272.486048
43.275468,58,2273.51804
42.38461,59,2274.548252
38.327109,63,2275.803864
39.03195,62,2276.942937
39.325737,62,2278.017163
40.356957,61,2279.397455
41.362238,60,2280.932152
45.304661,56,2282.331985
41.411325,60,2283.858551
41.172407,60,2285.194931
41.152061,60,2286.536482
42.272636,59,2287.759672
43.229247,58,2288.942881
40.324444,61,2290.392331
42.493716,59,2291.51788
43.40987,58,2293.151488
42.37798,59,2294.420691
44.454004,57,2295.503056
43.456567,58,2296.961159
42.387132,59,2298.400002
43.322481,58,2299.52374
39.109347,62,2300.61038
44.387322,57,2301.55934
42.2443,59,2302.474589
44.408862,57,2303.409167
39.335595,62,2304.437114
36.003934,65,2305.480114
42.467109,59,2306.418464
37.161615,64,2307.441673
44.253795,57,2308.376972
43.238929,58,2309.273148
38.995662,62,2310.255511
38.303162,63,2311.230723
39.304248,62,2312.214967
39.129278,62,2313.196145
41.146751,60,2314.116902
39.253786,62,2315.092715
32.293205,67,2316.126045
38.030122,63,2317.125412
37.126541,64,2318.136411
37.1231,64,2319.167047
41.313397,60,2320.094627
39.286517,62,2321.076807
38.335839,63,2322.05696
44.575948,57,2322.9649
43.311229,58,2323.86961
40.242184,61,2324.794732
39.364492,62,2325.797357
42.087731,59,2326.703568
39.055827,62,2327.688389
40.228814,61,2328.618264
42.285768,59,2329.575109
42.423065,59,2330.491647
42.400406,59,2331.430911
42.287989,59,2332.386088
42.339889,59,2333.293275
41.311561,60,2334.27635
42.439397,59,2335.206557
41.082992,60,2336.165076
41.300124,60,2337.085076
41.368522,60,2338.001775
41.444259,60,2338.934357
42.176567,59,2339.840971
42.201033,59,2340.787565
43.588469,58,2341.680781
43.504121,58,2342.601711
43.209303,58,2343.486956
40.324301,61,2344.432143
41.332672,60,2345.391181
39.318312,62,2346.355283
43.387707,58,2347.294892
40.364685,61,2348.246236
43.457949,58,2349.173217
42.317254,59,2350.079602
40.085522,61,2351.013247
40.363002,61,2351.977842
40.123386,61,2352.906062
44.360881,57,2353.80758
42.437913,59,2354.702006
40.326579,61,2355.666531
40.106212,61,2356.606655
38.029529,63,2357.628721
39.048058,62,2358.599156
35.149315,66,2359.664331
37.951268,63,2360.643426
38.008362,63,2361.600388
40.072306,61,2362.577267
42.440132,59,2363.488142
40.29123,61,2364.47031
42.338541,59,2365.37149
40.268865,61,2366.326965
43.498985,58,2367.237154
42.38244,59,2368.144152
39.44833,62,2369.112016
35.906612,65,2370.138016
37.094908,64,2371.158665
41.04005,60,2372.076733
38.28864,63,2373.07468
41.101526,60,2374.011669
38.997558,62,2374.985103
38.354299,63,2375.952264
37.993751,63,2376.933302
33.360808,66,2377.985039
41.331809,60,2378.916562
32.746146,69,2380.005573
36.973352,64,2380.974803
40.39941,61,2381.939829
39.336715,62,2382.919539
42.542096,59,2383.860339
44.414947,57,2384.741251
41.439178,60,2385.683046
43.125973,58,2386.594084
35.858376,65,2387.595332
44.310829,57,2388.498214
38.98358,62,2389.490373
41.046479,60,2390.454419
40.277914,61,2391.416394
39.001491,62,2392.405609
38.312707,63,2393.389794
42.327116,59,2394.311932
42.386806,59,2395.270645
40.087628,61,2396.289849
36.938157,64,2397.309655
36.951927,64,2398.308008
37.034937,64,2399.305102
43.102652,58,2400.210255
