total_reward,energy,overshoot,vel_pen,sym_pen
38.0965,18.4179,0.0333,0.0165,0.0293
39.1485,18.3696,0.0345,0.0175,0.0304
37.2644,18.8819,0.0372,0.0180,0.0332
38.3127,18.7262,0.0383,0.0187,0.0343
40.2515,18.2113,0.0368,0.0176,0.0292
43.2830,17.7510,0.0370,0.0173,0.0284
40.3134,18.3404,0.0378,0.0188,0.0326
41.3769,18.2357,0.0393,0.0184,0.0315
40.3570,18.4272,0.0390,0.0193,0.0335
41.2265,18.0302,0.0360,0.0180,0.0309
41.4063,18.2496,0.0400,0.0187,0.0320
41.2927,18.1078,0.0370,0.0176,0.0300
41.3468,18.1850,0.0385,0.0181,0.0310
41.4378,18.2671,0.0408,0.0190,0.0324
41.1961,17.9988,0.0352,0.0177,0.0307
40.2864,18.3392,0.0372,0.0186,0.0321
40.3203,18.4199,0.0381,0.0190,0.0328
40.1247,18.1488,0.0336,0.0174,0.0279
40.3368,18.4152,0.0385,0.0191,0.0331
40.2185,18.1738,0.0360,0.0173,0.0287
39.2868,18.5335,0.0374,0.0187,0.0334
40.2200,18.1986,0.0360,0.0173,0.0287
39.1714,18.4057,0.0351,0.0178,0.0303
37.2413,18.8575,0.0374,0.0163,0.0285
38.2778,18.6980,0.0374,0.0183,0.0336
39.3012,18.5404,0.0378,0.0188,0.0336
39.2799,18.5251,0.0372,0.0186,0.0333
40.0776,18.0744,0.0324,0.0127,0.0300
40.3472,18.4094,0.0387,0.0192,0.0333
41.2971,18.1216,0.0372,0.0176,0.0301
40.1200,18.1389,0.0335,0.0173,0.0279
40.2428,18.2498,0.0367,0.0176,0.0291
39.1473,18.3916,0.0345,0.0175,0.0304
38.2810,18.7187,0.0375,0.0183,0.0336
38.2608,18.6860,0.0369,0.0181,0.0332
38.1075,18.4833,0.0336,0.0167,0.0295
38.1581,18.6014,0.0350,0.0173,0.0304
38.2575,18.7036,0.0369,0.0181,0.0332
38.1432,18.5983,0.0346,0.0172,0.0302
37.2118,18.8363,0.0367,0.0162,0.0281
38.1221,18.5336,0.0340,0.0169,0.0298
39.1502,18.3836,0.0345,0.0176,0.0303
39.1333,18.3161,0.0340,0.0173,0.0302
40.3182,18.3880,0.0380,0.0189,0.0328
41.1364,17.9543,0.0337,0.0126,0.0329
41.2291,18.0647,0.0361,0.0180,0.0310
40.2395,18.2363,0.0366,0.0175,0.0290
39.2499,18.4925,0.0365,0.0182,0.0329
38.1471,18.6239,0.0347,0.0172,0.0302
38.1456,18.5814,0.0346,0.0172,0.0302
38.1139,18.5214,0.0338,0.0168,0.0296
39.2839,18.5219,0.0373,0.0186,0.0334
38.1385,18.5457,0.0344,0.0171,0.0300
39.1421,18.3703,0.0343,0.0175,0.0304
39.3181,18.5716,0.0382,0.0190,0.0339
40.2532,18.2513,0.0369,0.0177,0.0292
40.2455,18.2881,0.0361,0.0181,0.0313
40.2337,18.2898,0.0358,0.0180,0.0311
41.2281,18.0487,0.0360,0.0180,0.0310
41.3837,18.2458,0.0394,0.0185,0.0316
41.1900,17.9735,0.0350,0.0176,0.0306
41.1386,17.9578,0.0337,0.0126,0.0329
41.1369,17.9442,0.0337,0.0126,0.0329
41.2298,18.0818,0.0361,0.0180,0.0310
40.2651,18.3245,0.0366,0.0183,0.0317
40.2523,18.2592,0.0369,0.0177,0.0292
39.1325,18.3392,0.0341,0.0173,0.0302
38.2705,18.6938,0.0372,0.0182,0.0334
39.2990,18.5625,0.0377,0.0188,0.0336
40.2222,18.1959,0.0361,0.0174,0.0288
40.2638,18.3383,0.0366,0.0183,0.0317
41.2123,18.0539,0.0357,0.0179,0.0308
41.2838,18.0974,0.0368,0.0175,0.0299
41.2355,18.0633,0.0362,0.0181,0.0310
40.2211,18.1642,0.0360,0.0173,0.0287
40.2221,18.2271,0.0361,0.0174,0.0288
39.2671,18.4879,0.0369,0.0184,0.0331
39.1521,18.4077,0.0346,0.0176,0.0303
39.2588,18.4871,0.0367,0.0183,0.0330
40.2409,18.3006,0.0360,0.0181,0.0313
39.1585,18.4147,0.0348,0.0177,0.0303
40.2811,18.3058,0.0370,0.0185,0.0320
41.3100,18.1310,0.0375,0.0177,0.0303
41.3040,18.1119,0.0373,0.0177,0.0302
41.3777,18.2139,0.0393,0.0184,0.0315
40.1280,18.1802,0.0337,0.0174,0.0280
40.2394,18.2389,0.0366,0.0175,0.0290
40.2846,18.3478,0.0371,0.0186,0.0321
41.2096,18.0654,0.0356,0.0179,0.0308
40.2359,18.2039,0.0364,0.0175,0.0290
39.2869,18.5391,0.0374,0.0187,0.0334
41.1367,17.9756,0.0337,0.0126,0.0329
40.2634,18.3084,0.0366,0.0183,0.0317
40.2984,18.3695,0.0375,0.0187,0.0324
40.1280,18.1473,0.0337,0.0174,0.0279
40.3539,18.3821,0.0389,0.0193,0.0334
41.3129,18.1396,0.0376,0.0178,0.0304
42.3482,18.0314,0.0383,0.0180,0.0305
41.3051,18.1290,0.0374,0.0177,0.0303
41.3865,18.2197,0.0395,0.0185,0.0316
41.2294,18.0780,0.0361,0.0180,0.0310
41.1953,18.0043,0.0352,0.0177,0.0307
42.2670,17.8714,0.0368,0.0175,0.0285
41.2144,18.0379,0.0357,0.0179,0.0308
39.2671,18.5289,0.0369,0.0184,0.0331
39.1504,18.3881,0.0345,0.0176,0.0304
39.1196,18.2967,0.0337,0.0171,0.0299
38.2549,18.6403,0.0367,0.0180,0.0330
38.2547,18.6678,0.0368,0.0180,0.0331
40.1187,18.0583,0.0334,0.0172,0.0279
